Restaurant Name,Chain Name,Category,Item Name,Price,Description,Is Sold Out,Address,City,Latitude,Longitude,Rating,Review Count,Cuisines,Minimum Order,Opening Hours,Closing Hours,Restaurant Image,Item Image,Web Link
Special Bhai Bhai Biriyani House,Special Bhai Bhai Biriyani House,Kacchi & Tehari,Beef Tehari,296,"Aromatic & flavorful pilaf made with tender beef, rice & spice",False,"GP Ka - 53, Shahjadpur, Pragati Sharani, Gulshan, Dhaka 1212 (Opposite of Suvastu Shopping Mall - Beside Singer showroom)",Dhaka,23.7905906,90.4248667,4.2,1086,"Asian, Indian, Rice Dishes, Biryani",50,08:30,23:59,https://images.deliveryhero.io/image/fd-bd/LH/n0zu-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9324525.jpg?width=400,https://www.foodpanda.com.bd/restaurant/n0zu/special-bhai-bhai-biriyani-house
Special Bhai Bhai Biriyani House,Special Bhai Bhai Biriyani House,Khichuri,Beef Bhuna Khichuri,370,Rich lentil & rice dish slow-cooked with savory beef & spice,False,"GP Ka - 53, Shahjadpur, Pragati Sharani, Gulshan, Dhaka 1212 (Opposite of Suvastu Shopping Mall - Beside Singer showroom)",Dhaka,23.7905906,90.4248667,4.2,1086,"Asian, Indian, Rice Dishes, Biryani",50,08:30,23:59,https://images.deliveryhero.io/image/fd-bd/LH/n0zu-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9324526.jpg?width=400,https://www.foodpanda.com.bd/restaurant/n0zu/special-bhai-bhai-biriyani-house
Special Bhai Bhai Biriyani House,Special Bhai Bhai Biriyani House,Khichuri,Beef Chap Khichuri,480,Hearty lentil & rice dish served with a rich beef chap,False,"GP Ka - 53, Shahjadpur, Pragati Sharani, Gulshan, Dhaka 1212 (Opposite of Suvastu Shopping Mall - Beside Singer showroom)",Dhaka,23.7905906,90.4248667,4.2,1086,"Asian, Indian, Rice Dishes, Biryani",50,08:30,23:59,https://images.deliveryhero.io/image/fd-bd/LH/n0zu-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9324532.jpg?width=400,https://www.foodpanda.com.bd/restaurant/n0zu/special-bhai-bhai-biriyani-house
Special Bhai Bhai Biriyani House,Special Bhai Bhai Biriyani House,Khichuri,Mutton Chap Khichuri,600,Savory lentil & rice dish paired with a tender mutton chap,False,"GP Ka - 53, Shahjadpur, Pragati Sharani, Gulshan, Dhaka 1212 (Opposite of Suvastu Shopping Mall - Beside Singer showroom)",Dhaka,23.7905906,90.4248667,4.2,1086,"Asian, Indian, Rice Dishes, Biryani",50,08:30,23:59,https://images.deliveryhero.io/image/fd-bd/LH/n0zu-hero.jpg,,https://www.foodpanda.com.bd/restaurant/n0zu/special-bhai-bhai-biriyani-house
Special Bhai Bhai Biriyani House,Special Bhai Bhai Biriyani House,Khichuri,Chicken Khichuri,384,Comforting lentil & rice dish slow-cooked with tender chicken,False,"GP Ka - 53, Shahjadpur, Pragati Sharani, Gulshan, Dhaka 1212 (Opposite of Suvastu Shopping Mall - Beside Singer showroom)",Dhaka,23.7905906,90.4248667,4.2,1086,"Asian, Indian, Rice Dishes, Biryani",50,08:30,23:59,https://images.deliveryhero.io/image/fd-bd/LH/n0zu-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9324534.jpg?width=400,https://www.foodpanda.com.bd/restaurant/n0zu/special-bhai-bhai-biriyani-house
Special Bhai Bhai Biriyani House,Special Bhai Bhai Biriyani House,Khichuri,Egg Khichuri,200,Simple & wholesome lentil & rice dish served with a boiled egg,False,"GP Ka - 53, Shahjadpur, Pragati Sharani, Gulshan, Dhaka 1212 (Opposite of Suvastu Shopping Mall - Beside Singer showroom)",Dhaka,23.7905906,90.4248667,4.2,1086,"Asian, Indian, Rice Dishes, Biryani",50,08:30,23:59,https://images.deliveryhero.io/image/fd-bd/LH/n0zu-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9324535.jpg?width=400,https://www.foodpanda.com.bd/restaurant/n0zu/special-bhai-bhai-biriyani-house
Special Bhai Bhai Biriyani House,Special Bhai Bhai Biriyani House,Polao,Morog Polao,384,Rich pilaf rice cooked with tender chicken & fragrant spice,False,"GP Ka - 53, Shahjadpur, Pragati Sharani, Gulshan, Dhaka 1212 (Opposite of Suvastu Shopping Mall - Beside Singer showroom)",Dhaka,23.7905906,90.4248667,4.2,1086,"Asian, Indian, Rice Dishes, Biryani",50,08:30,23:59,https://images.deliveryhero.io/image/fd-bd/LH/n0zu-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9324529.jpg?width=400,https://www.foodpanda.com.bd/restaurant/n0zu/special-bhai-bhai-biriyani-house
Special Bhai Bhai Biriyani House,Special Bhai Bhai Biriyani House,Polao,Beef Chap Polao,384,Flavorful pilaf rice served with a delicious & savory beef chap,False,"GP Ka - 53, Shahjadpur, Pragati Sharani, Gulshan, Dhaka 1212 (Opposite of Suvastu Shopping Mall - Beside Singer showroom)",Dhaka,23.7905906,90.4248667,4.2,1086,"Asian, Indian, Rice Dishes, Biryani",50,08:30,23:59,https://images.deliveryhero.io/image/fd-bd/LH/n0zu-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9324530.jpg?width=400,https://www.foodpanda.com.bd/restaurant/n0zu/special-bhai-bhai-biriyani-house
Special Bhai Bhai Biriyani House,Special Bhai Bhai Biriyani House,Polao,Mutton Polao,480,Aromatic pilaf rice cooked with succulent piece of mutton & spice,False,"GP Ka - 53, Shahjadpur, Pragati Sharani, Gulshan, Dhaka 1212 (Opposite of Suvastu Shopping Mall - Beside Singer showroom)",Dhaka,23.7905906,90.4248667,4.2,1086,"Asian, Indian, Rice Dishes, Biryani",50,08:30,23:59,https://images.deliveryhero.io/image/fd-bd/LH/n0zu-hero.jpg,,https://www.foodpanda.com.bd/restaurant/n0zu/special-bhai-bhai-biriyani-house
Special Bhai Bhai Biriyani House,Special Bhai Bhai Biriyani House,Polao,Egg Polao,160,Fragrant pilaf rice served with a perfectly boiled egg & spice,False,"GP Ka - 53, Shahjadpur, Pragati Sharani, Gulshan, Dhaka 1212 (Opposite of Suvastu Shopping Mall - Beside Singer showroom)",Dhaka,23.7905906,90.4248667,4.2,1086,"Asian, Indian, Rice Dishes, Biryani",50,08:30,23:59,https://images.deliveryhero.io/image/fd-bd/LH/n0zu-hero.jpg,https://images.deliveryhero.io/image/fd-bd/Products/9324536.jpg?width=400,https://www.foodpanda.com.bd/restaurant/n0zu/special-bhai-bhai-biriyani-house
